Country Name,Crecimiento PIB per cápita 60s,Crecimiento PIB per cápita 70s,Crecimiento PIB per cápita 80s,Crecimiento PIB per cápita 90s,Crecimiento PIB per cápita 2000s,Crecimiento PIB per cápita 2010-hoy
Bulgaria,,,3.821111111111111,-2.7720000000000002,5.969,2.36
Burkina Faso,1.728888888888889,1.3509999999999995,1.1600000000000001,2.2830000000000004,2.2379999999999995,2.691666666666667
Burundi,0.6744444444444468,2.6860000000000035,1.5100000000000005,-3.0650000000000004,-0.1989999999999994,-1.1375000000000004
Cabo Verde,,,3.9911111111111106,7.529,5.602,0.43166666666666653
Cambodia,,,,-2.4649999999999963,6.624,4.233333333333333
Cameroon,-0.2488888888888886,4.375,0.8109999999999999,-2.5759999999999996,1.326,1.1733333333333336
Canada,3.5533333333333332,,,2.54,2.125,0.7383333333333333
Caribbean small states,3.95,1.3230000000000006,0.29000000000000004,1.8629999999999995,2.347,-0.35
Cayman Islands,,,,,-4.276666666666666,-0.1772727272727277
Central African Republic,0.02777777777777768,0.138,-1.5499999999999998,-1.2990000000000004,0.7009999999999996,-1.078333333333334
Central Europe and the Baltics,,,,1.4044444444444455,4.318,2.9275
Chad,-0.9622222222222223,-3.1370000000000005,2.599000000000001,-1.13,5.714000000000001,-0.5875000000000004
Channel Islands,,,,3.03,0.8799999999999999,
Chile,2.6166666666666667,0.917,2.0380000000000003,4.521,3.129,2.1533333333333338
China,1.2300000000000004,5.292000000000002,8.174,8.757,9.682,6.731666666666666
Colombia,1.9422222222222223,3.351,1.253,0.986,2.488,2.2283333333333335
Comoros,,,-0.21666666666666667,-1.2539999999999996,0.8369999999999997,0.4341666666666667
"Congo, Dem. Rep.",0.9566666666666652,-2.462,-0.854,-8.398,0.16800000000000104,2.4125
"Congo, Rep.",1.2699999999999996,2.4350000000000005,3.8270000000000017,-1.963,1.529,-2.9891666666666667
Costa Rica,2.3744444444444444,3.638,-0.47299999999999986,2.353,2.723,2.338333333333333
Cote d'Ivoire,4.741111111111111,2.871,-4.171000000000001,-0.43100000000000005,-1.569,3.4766666666666666
Croatia,,,,3.9775,3.503,2.029166666666667
Cuba,,4.1,3.356,-2.5170000000000003,5.486,0.8163636363636362
Curacao,,,,,-0.287777777777777,-3.028181818181818
Cyprus,,13.504999999999999,4.826,2.779,2.091,0.5708333333333336
Czechia,,,,0.28888888888888964,3.241,1.6649999999999998
Denmark,4.436666666666667,1.935,1.8779999999999997,2.082,0.6119999999999997,1.2633333333333334
Djibouti,,,,,,3.7225
Dominica,,-4.905000000000001,6.359,2.4760000000000004,2.498,-0.525
Dominican Republic,1.5788888888888888,5.413,1.6309999999999998,3.16,2.874,3.9924999999999997
Early-demographic dividend,2.8933333333333335,2.923,-0.27100000000000013,1.741,2.392,2.4291666666666667
East Asia & Pacific,5.77,3.061,3.6609999999999996,3.045,4.257,4.076666666666667
East Asia & Pacific (excluding high income),1.464444444444446,4.864999999999999,5.9350000000000005,6.817,8.198,6.030833333333334
East Asia & Pacific (IDA & IBRD countries),1.4644444444444442,4.865,5.932,6.814,8.2,6.028333333333334
Ecuador,0.7833333333333332,4.336,0.09600000000000009,0.09600000000000009,2.124,0.45083333333333364
"Egypt, Arab Rep.",2.341111111111111,3.839,3.955,2.3289999999999997,3.0709999999999997,1.5975
El Salvador,1.9625,1.5190000000000001,-3.2609999999999957,2.529,0.9699999999999998,1.7566666666666668
Equatorial Guinea,,,-2.0677777777777777,29.518999999999995,16.011,-6.954999999999999
Eritrea,,,,8.25,-2.8369999999999997,3.8899999999999997
