time,country_name,adolescent_fertility_rate,life_expectancy,mortality_rate,GDP_per_capita,C02_emissions,health_expend_per_capita,electric_power_consumption,oop_expend_per_capita,net_income_per_capita
2014,"Congo,0Rep.",115.8992,62.582,21.1,3781.51573466687,1.09563825302075,117.02796173,202.8725143631,36.49670916,2309.62853437178
2014,Costa0Rica,57.2442,79.398,6.3,10847.1696673041,1.63281816988943,1231.36047363,1942.49060034742,300.61579156,9833.77340491416
2014,Cote0d'Ivoire,121.6986,55.508,36.8,2156.64588308807,0.406222759198612,161.29421997,274.730223927651,82.49138721,1467.47318219927
2014,Croatia,10.1756,77.4780487804878,3.1,13762.3728630599,3.83164446942416,1475.16796875,3714.38298844207,166.32935537,11238.2163831559
2014,Cuba,52.8886,78.521,2.5,7133.33767875907,2.36050370035326,2706.48632813,1450.8828186377,260.87490439,6173.60343679733
2014,Curacao,32.2284,77.9756097560976,0,19552.660553207,0,0,4797.67043595944,0,0
2014,Cyprus,4.9294,80.178,1.7,27163.33203125,5.90993462864135,2077.87841797,3624.93350238697,937.35141483,22661.11328125
2014,Czechia,11.24,78.8243902439024,1.6,19890.9199056648,9.26430284305406,2472.17553711,6258.89103703659,348.13157122,14292.8183830278
2014,Denmark,4.3108,80.7,3,62548.9847332908,6.34715307409428,4886.55126953,5858.80153628748,673.10048521,53767.1984921232
2014,Djibouti,20.5636,63.171,34.7,2464.29490507649,0.445083888253306,127.26846313,0,28.83843133,2072.33516772455
2014,Dominica,0,0,23.9,7317.48614321654,2.53196617226593,574.21606445,0,205.25240269,6687.27788526159
2014,Dominican0Republic,96.2568,73.003,24.4,6608.82550130065,2.11014429086853,774.95141602,1615.51460662485,329.23171407,5938.29102872387
2014,Ecuador,81.3508,75.923,7.5,6377.09392877257,2.6203886322938,787.590271,1376.39363303224,261.18916124,5072.2919719782
2014,"Egypt,0Arab0Rep.",54.983,71.117,12.8,3379.55798627058,2.42323250904485,547.54180908,1683.21325769203,301.81255027,2927.13363330242
2014,El0Salvador,71.8926,72.175,7.8,3589.04288461991,1.04684199272133,555.60797119,937.074472242326,157.07995125,2995.21697212137
2014,Equatorial0Guinea,162.3144,57.001,32.5,19394.0818360782,7.04819580210173,738.92962646,0,550.36396817,6176.73761810922
2014,Eritrea,57.2114,64.201,20.2,0,0.196288983343261,80.79001617,96.6345799596792,42.53344398,0
2014,Estonia,12.7578,77.0341463414634,1.5,20261.0667303886,13.6473080298184,1769.96166992,6732.36747315611,400.40857449,16450.5498873397
2014,Eswatini,78.564,53.569,22.4,4039.15934079483,0.68491774594483,638.40100098,0,67.35446704,3298.71141262532
2014,Ethiopia,73.4776,64.547,33.1,566.92640288853,0.125797367240432,61.05818176,69.1987454026874,23.49157652,433.320234713579
2014,Faroe0Islands,0,81.5926829268293,0,60484.3407300749,0,0,0,0,0
2014,Fiji,47.283,67.03,9.4,5605.60914844185,1.48883885783323,382.22973633,0,76.04985896,4598.21487501177
2014,Finland,6.779,81.1804878048781,1.4,50327.2402902632,8.45187190789146,4084.43017578,15249.9893802302,720.38920943,41088.833078949
2014,France,5.8796,82.719512195122,2.4,43068.5487241739,4.61605285360078,4644.62597656,6939.94352490927,458.41799801,36132.0952203324
2014,French0Polynesia,40.1706,76.546,0,0,0,0,0,0,0
2014,Gabon,102.1904,64.318,22.2,9663.42411002585,3.16381615581846,389.31878662,1167.85159366621,109.51463506,5975.72596182739
2014,"Gambia,0The",85.8098,60.667,30.1,607.429904651813,0.256912290104634,90.23688507,0,16.59818919,439.060491760785
2014,Georgia,49.552,72.707,7.3,4739.18833846421,2.2772405188099,843.29345703,2693.97276022513,556.3680143,4039.26471061111
2014,Germany,8.0758,81.090243902439,2.3,48023.8699845462,9.08850689674467,5195.20996094,7035.48297471676,675.41968098,40289.4685840892
2014,Ghana,69.71,62.416,26.8,2012.26424719728,0.554280564866176,223.64501953,351.301475730666,100.75350386,1502.4514884958
2014,Gibraltar,0,0,0,0,0,0,5692.93719978651,0,0
2014,Greece,8.0126,81.3853658536585,2.6,21616.7100094908,6.38517866075752,2100.17016602,5062.60642155232,779.13618294,18007.6534650641
2014,Greenland,0,71.9856097560976,0,50484.9275739023,0,0,0,0,0
